2025-02-06_4000__12.txt	  Number of steps:4000	 Steps accepted:1711	 acc = 0.43	min(-loglike) = 0.01
2025-02-06_4000__35.txt	  Number of steps:4000	 Steps accepted:2016	 acc = 0.5	min(-loglike) = 0.00
2025-02-06_4000__13.txt	  Number of steps:4000	 Steps accepted:1822	 acc = 0.46	min(-loglike) = 0.01
2025-02-06_4000__30.txt	  Number of steps:4000	 Steps accepted:3091	 acc = 0.77	min(-loglike) = 0.00
2025-02-06_4000__21.txt	  Number of steps:4000	 Steps accepted:2393	 acc = 0.6	min(-loglike) = 0.01
2025-02-06_4000__37.txt	  Number of steps:4000	 Steps accepted:1812	 acc = 0.45	min(-loglike) = 0.00
2025-02-06_4000__23.txt	  Number of steps:4000	 Steps accepted:2411	 acc = 0.6	min(-loglike) = 0.00
2025-02-06_4000__24.txt	  Number of steps:4000	 Steps accepted:2372	 acc = 0.59	min(-loglike) = 0.01
2025-02-06_4000__8.txt	  Number of steps:4000	 Steps accepted:1679	 acc = 0.42	min(-loglike) = 0.01
2025-02-06_4000__26.txt	  Number of steps:4000	 Steps accepted:3112	 acc = 0.78	min(-loglike) = 0.00
2025-02-06_4000__15.txt	  Number of steps:4000	 Steps accepted:1855	 acc = 0.46	min(-loglike) = 0.00
2025-02-06_4000__6.txt	  Number of steps:4000	 Steps accepted:829	 acc = 0.21	min(-loglike) = 0.02
2025-02-06_4000__11.txt	  Number of steps:4000	 Steps accepted:1712	 acc = 0.43	min(-loglike) = 0.01
2025-02-06_4000__41.txt	  Number of steps:4000	 Steps accepted:1849	 acc = 0.46	min(-loglike) = 0.00
2025-02-06_4000__36.txt	  Number of steps:4000	 Steps accepted:2037	 acc = 0.51	min(-loglike) = 0.00
2025-02-06_4000__14.txt	  Number of steps:4000	 Steps accepted:1845	 acc = 0.46	min(-loglike) = 0.01
2025-02-06_4000__10.txt	  Number of steps:4000	 Steps accepted:1648	 acc = 0.41	min(-loglike) = 0.01
2025-02-06_4000__42.txt	  Number of steps:4000	 Steps accepted:1829	 acc = 0.46	min(-loglike) = 0.00
2025-02-06_4000__5.txt	  Number of steps:4000	 Steps accepted:921	 acc = 0.23	min(-loglike) = 0.05
2025-02-06_4000__7.txt	  Number of steps:4000	 Steps accepted:1669	 acc = 0.42	min(-loglike) = 0.01
2025-02-06_4000__33.txt	  Number of steps:4000	 Steps accepted:2057	 acc = 0.51	min(-loglike) = 0.00
2025-02-06_4000__4.txt	  Number of steps:4000	 Steps accepted:882	 acc = 0.22	min(-loglike) = 0.03
2025-02-06_4000__32.txt	  Number of steps:4000	 Steps accepted:2014	 acc = 0.5	min(-loglike) = 0.00
2025-02-06_4000__18.txt	  Number of steps:4000	 Steps accepted:1812	 acc = 0.45	min(-loglike) = 0.00
2025-02-06_4000__9.txt	  Number of steps:4000	 Steps accepted:1741	 acc = 0.44	min(-loglike) = 0.01
2025-02-06_4000__27.txt	  Number of steps:4000	 Steps accepted:3044	 acc = 0.76	min(-loglike) = 0.01
2025-02-06_4000__20.txt	  Number of steps:4000	 Steps accepted:2426	 acc = 0.61	min(-loglike) = 0.00
2025-02-06_4000__2.txt	  Number of steps:4000	 Steps accepted:902	 acc = 0.23	min(-loglike) = 0.06
2025-02-06_4000__38.txt	  Number of steps:4000	 Steps accepted:1870	 acc = 0.47	min(-loglike) = 0.00
2025-02-06_4000__16.txt	  Number of steps:4000	 Steps accepted:1836	 acc = 0.46	min(-loglike) = 0.01
2025-02-06_4000__31.txt	  Number of steps:4000	 Steps accepted:2019	 acc = 0.5	min(-loglike) = 0.00
2025-02-06_4000__17.txt	  Number of steps:4000	 Steps accepted:1801	 acc = 0.45	min(-loglike) = 0.01
2025-02-06_4000__34.txt	  Number of steps:4000	 Steps accepted:2076	 acc = 0.52	min(-loglike) = 0.00
2025-02-06_4000__1.txt	  Number of steps:4000	 Steps accepted:881	 acc = 0.22	min(-loglike) = 0.04
2025-02-06_4000__40.txt	  Number of steps:4000	 Steps accepted:1824	 acc = 0.46	min(-loglike) = 0.00
2025-02-06_4000__28.txt	  Number of steps:4000	 Steps accepted:3039	 acc = 0.76	min(-loglike) = 0.00
2025-02-06_4000__25.txt	  Number of steps:4000	 Steps accepted:3022	 acc = 0.76	min(-loglike) = 0.00
2025-02-06_4000__29.txt	  Number of steps:4000	 Steps accepted:3056	 acc = 0.76	min(-loglike) = 0.00
2025-02-06_4000__19.txt	  Number of steps:4000	 Steps accepted:2410	 acc = 0.6	min(-loglike) = 0.00
2025-02-06_4000__3.txt	  Number of steps:4000	 Steps accepted:841	 acc = 0.21	min(-loglike) = 0.02
2025-02-06_4000__22.txt	  Number of steps:4000	 Steps accepted:2329	 acc = 0.58	min(-loglike) = 0.00
2025-02-06_4000__39.txt	  Number of steps:4000	 Steps accepted:1889	 acc = 0.47	min(-loglike) = 0.00
--> Total    number    of    steps: 168000
--> Total number of accepted steps: 82384
--> Minimum of -logLike           : 0.00
